vendor_id,name,short_description,long_description,price_cents,category_slug,sku,image_url,coa_url,ship_to_states,inventory_count,weight_grams,bullet_specs
,GHD Hemp Crest Tee — Back Crest Natural,Natural heavyweight tee with small front logo and oversized back crest.,"The GHD Hemp Crest Tee — Back Crest Natural is a premium hemp-based piece built for clean daily wear and long-term durability. It uses 55% hemp / 45% organic cotton heavyweight jersey with a boxy relaxed fit profile, finished with Good Hemp Distros branding in a polished, sustainability-forward direction. Care is simple: machine wash cold, wash with like colors, and hang dry or tumble low to preserve shape and color. Made for people who want natural materials, better design, and a brand with purpose.",6400,clothing,GHD-TEE-T2-BACK-CREST-NAT,,,"AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,DC",0,220,55% hemp / 45% organic cotton heavyweight jersey | Boxy relaxed fit | Small front hit; oversized back crest | Good Hemp Distros logo application | Machine wash cold; hang dry preferred | Inventory set to 0 until confirmed
,GHD Hemp Monogram Tee — Charcoal Tonal,Charcoal premium tee with subtle all-over GHD monogram pattern.,"The GHD Hemp Monogram Tee — Charcoal Tonal is a premium hemp-based piece built for clean daily wear and long-term durability. It uses 100% hemp jersey with a boxy relaxed fit profile, finished with Good Hemp Distros branding in a polished, sustainability-forward direction. Care is simple: machine wash cold, wash with like colors, and hang dry or tumble low to preserve shape and color. Made for people who want natural materials, better design, and a brand with purpose.",7200,clothing,GHD-TEE-T3-MONO-CHAR,,,"AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,DC",0,210,100% hemp jersey | Boxy relaxed fit | Tonal all-over monogram print | Good Hemp Distros logo application | Machine wash cold; hang dry preferred | Inventory set to 0 until confirmed
,GHD Hemp Pocket Tee — Sage Garment-Dyed,Sage pocket tee with understated logo hit and woven label detail.,"The GHD Hemp Pocket Tee — Sage Garment-Dyed is a premium hemp-based piece built for clean daily wear and long-term durability. It uses 55% hemp / 45% organic cotton slub jersey with a relaxed pocket tee fit profile, finished with Good Hemp Distros branding in a polished, sustainability-forward direction. Care is simple: machine wash cold, wash with like colors, and hang dry or tumble low to preserve shape and color. Made for people who want natural materials, better design, and a brand with purpose.",5200,clothing,GHD-TEE-T4-POCKET-SAGE,,,"AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,DC",0,200,55% hemp / 45% organic cotton slub jersey | Relaxed pocket tee fit | Chest pocket and woven hem label | Good Hemp Distros logo application | Machine wash cold; hang dry preferred | Inventory set to 0 until confirmed
,GHD Hemp Split Panel Tee — Natural Clay,Two-tone natural and clay tee with premium understated chest logo.,"The GHD Hemp Split Panel Tee — Natural Clay is a premium hemp-based piece built for clean daily wear and long-term durability. It uses 55% hemp / 45% organic cotton jersey with a relaxed color-block fit profile, finished with Good Hemp Distros branding in a polished, sustainability-forward direction. Care is simple: machine wash cold, wash with like colors, and hang dry or tumble low to preserve shape and color. Made for people who want natural materials, better design, and a brand with purpose.",6800,clothing,GHD-TEE-T5-SPLIT-PANEL-CLAY,,,"AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,DC",0,210,55% hemp / 45% organic cotton jersey | Relaxed color-block fit | Split-panel color-block construction | Good Hemp Distros logo application | Machine wash cold; hang dry preferred | Inventory set to 0 until confirmed
,GHD Hemp Wave Graphic Tee — Natural Ocean,Natural graphic tee with wave artwork and hemp leaf energy.,"The GHD Hemp Wave Graphic Tee — Natural Ocean is a premium hemp-based piece built for clean daily wear and long-term durability. It uses 55% hemp / 45% organic cotton jersey with a relaxed streetwear fit profile, finished with Good Hemp Distros branding in a polished, sustainability-forward direction. Care is simple: machine wash cold, wash with like colors, and hang dry or tumble low to preserve shape and color. Made for people who want natural materials, better design, and a brand with purpose.",6000,clothing,GHD-TEE-T6-WAVE-GRAPHIC-NAT,,,"AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,DC",0,205,55% hemp / 45% organic cotton jersey | Relaxed streetwear fit | Water-based front graphic print | Good Hemp Distros logo application | Machine wash cold; hang dry preferred | Inventory set to 0 until confirmed
,GHD Hemp Sleeve Script Long Sleeve — Natural,Natural long sleeve with chest logo and bold sleeve graphics.,"The GHD Hemp Sleeve Script Long Sleeve — Natural is a premium hemp-based piece built for clean daily wear and long-term durability. It uses 55% hemp / 45% organic cotton jersey with a relaxed long sleeve fit profile, finished with Good Hemp Distros branding in a polished, sustainability-forward direction. Care is simple: machine wash cold, wash with like colors, and hang dry or tumble low to preserve shape and color. Made for people who want natural materials, better design, and a brand with purpose.",7400,clothing,GHD-LONG-L1-SLEEVE-SCRIPT-NAT,,,"AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,DC",0,260,55% hemp / 45% organic cotton jersey | Relaxed long sleeve fit | Sleeve print graphics | Good Hemp Distros logo application | Machine wash cold; hang dry preferred | Inventory set to 0 until confirmed
,GHD Hemp Heritage Stripe Long Sleeve — Sage Stripe,Rugby-inspired long sleeve with heritage stripes and chest logo.,"The GHD Hemp Heritage Stripe Long Sleeve — Sage Stripe is a premium hemp-based piece built for clean daily wear and long-term durability. It uses 55% hemp / 45% organic cotton knit with a relaxed rugby-style fit profile, finished with Good Hemp Distros branding in a polished, sustainability-forward direction. Care is simple: machine wash cold, wash with like colors, and hang dry or tumble low to preserve shape and color. Made for people who want natural materials, better design, and a brand with purpose.",7800,clothing,GHD-LONG-L2-HERITAGE-STRIPE-SAGE,,,"AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,DC",0,290,55% hemp / 45% organic cotton knit | Relaxed rugby-style fit | Striped body and collar construction | Good Hemp Distros logo application | Machine wash cold; hang dry preferred | Inventory set to 0 until confirmed
,GHD Hemp Monogram Cuff Long Sleeve — Charcoal,Charcoal long sleeve with tonal monogram sleeve detail and chest logo.,"The GHD Hemp Monogram Cuff Long Sleeve — Charcoal is a premium hemp-based piece built for clean daily wear and long-term durability. It uses 100% hemp jersey with a relaxed long sleeve fit profile, finished with Good Hemp Distros branding in a polished, sustainability-forward direction. Care is simple: machine wash cold, wash with like colors, and hang dry or tumble low to preserve shape and color. Made for people who want natural materials, better design, and a brand with purpose.",7600,clothing,GHD-LONG-L3-MONO-CUFF-CHAR,,,"AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,DC",0,270,100% hemp jersey | Relaxed long sleeve fit | Tonal sleeve monogram panels | Good Hemp Distros logo application | Machine wash cold; hang dry preferred | Inventory set to 0 until confirmed
,GHD Hemp Vintage Wash Long Sleeve — Dusk Blue,Dusk blue washed long sleeve with back typography and leaf mark.,"The GHD Hemp Vintage Wash Long Sleeve — Dusk Blue is a premium hemp-based piece built for clean daily wear and long-term durability. It uses 55% hemp / 45% organic cotton jersey with a relaxed vintage-wash fit profile, finished with Good Hemp Distros branding in a polished, sustainability-forward direction. Care is simple: machine wash cold, wash with like colors, and hang dry or tumble low to preserve shape and color. Made for people who want natural materials, better design, and a brand with purpose.",7000,clothing,GHD-LONG-L4-VINTAGE-WASH-DUSK,,,"AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,DC",0,265,55% hemp / 45% organic cotton jersey | Relaxed vintage-wash fit | Garment-dyed washed finish | Good Hemp Distros logo application | Machine wash cold; hang dry preferred | Inventory set to 0 until confirmed
,GHD Hemp Oversized Crest Tee — Natural,Oversized natural tee with bold full-front Good Hemp Distros crest.,"The GHD Hemp Oversized Crest Tee — Natural is a premium hemp-based piece built for clean daily wear and long-term durability. It uses 100% hemp jersey with a oversized boxy fit profile, finished with Good Hemp Distros branding in a polished, sustainability-forward direction. Care is simple: machine wash cold, wash with like colors, and hang dry or tumble low to preserve shape and color. Made for people who want natural materials, better design, and a brand with purpose.",6400,clothing,GHD-TEE-S1-OVERSIZED-CREST-NAT,,,"AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,DC",0,230,100% hemp jersey | Oversized boxy fit | Large full-front logo print | Good Hemp Distros logo application | Machine wash cold; hang dry preferred | Inventory set to 0 until confirmed
,GHD Hemp Back Logo Tee — Sage,Sage tee with large back logo and subtle front hit.,"The GHD Hemp Back Logo Tee — Sage is a premium hemp-based piece built for clean daily wear and long-term durability. It uses 55% hemp / 45% organic cotton jersey with a relaxed fit profile, finished with Good Hemp Distros branding in a polished, sustainability-forward direction. Care is simple: machine wash cold, wash with like colors, and hang dry or tumble low to preserve shape and color. Made for people who want natural materials, better design, and a brand with purpose.",6000,clothing,GHD-TEE-S2-BACK-LOGO-SAGE,,,"AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,DC",0,210,55% hemp / 45% organic cotton jersey | Relaxed fit | Large back logo placement | Good Hemp Distros logo application | Machine wash cold; hang dry preferred | Inventory set to 0 until confirmed
